,Aplicativo React Native - Medical Hosp,,,,,,,,,,,,,,,
Medical Hosp,2026,,,,,,,,,,,,,,,
,Março,,,,Abril,,,,Maio,,,,Junho,,,
,01-Mar-07,08-Mar-14,15-Mar-22,23-Mar-31,01-Abr-07,08-Abr-14,15-Abr-22,23-Abr-30,01-Mai-07,08-Mai-14,15-Mai-22,23-Mai-31,01-Jun-07,08-Jun-14,15-Jun-22,23-Jun-30
Time Desenvolvimento,Decidir cliente para o trabalho,,,,,,,,,,,,,,,
,,Preencher Github,,,,,,,,,,,,,,
,,,Apresentação trabalho,,,,,,,,,,,,,
,,,Decidir tecnologias,,"Implementação de modelagem de BD, projeto de interfaces, registro de testes, controle de mudanças, gerenciamento do processo de desenvolvimento de software",,,,,,,,,,,
POO,,Reunião com o cliente para decidir expectativas,,,,,,,,,,,,,,
